index,name,sex
364,Kerry,F
365,Sallie,F
366,Sondra,F
367,Hope,F
368,Ada,F
369,Sherri,F
370,Jamie,F
371,Mamie,F
372,Lorna,F
373,Polly,F
374,Henrietta,F
375,Myrtle,F
376,Bette,F
377,Faith,F
378,Gwen,F
379,Ilene,F
380,Myrna,F
381,Kimberly,F
382,Maggie,F
383,Marta,F
384,Leah,F
385,Pat,F
386,Bettie,F
387,Freda,F
388,Frankie,F
389,Adele,F
390,Jody,F
391,Lenora,F
392,Lauren,F
393,Rosanne,F
394,Lou,F
395,Sheri,F
396,Cherie,F
397,Earnestine,F
398,Delia,F
399,Jessica,F
400,Estella,F
401,April,F
402,Melba,F
403,Jeri,F
404,Natalie,F
405,Genevieve,F
406,Tamara,F
407,Shannon,F
408,Marilynn,F
409,Amanda,F
410,Dona,F
411,Fay,F
412,Ruthie,F
413,Nelda,F
414,Katharine,F
415,Rena,F
416,Teri,F
417,Jeanie,F
418,Kaye,F
419,Nanette,F
420,Isabel,F
421,Reba,F
422,Karin,F
423,Nona,F
424,Kristin,F
425,Mable,F
426,Tanya,F
427,Alison,F
428,Jerry,F
429,Jolene,F
430,Lila,F
431,Eugenia,F
432,Inez,F
433,Coleen,F
434,Rosalyn,F
435,Sonja,F
436,Debora,F
437,Earlene,F
438,Gracie,F
439,Shelly,F
440,Robyn,F
441,Sonia,F
442,Maryanne,F
443,Carlene,F
444,Muriel,F
445,Janine,F
446,Robbie,F
447,Dee,F
448,Ladonna,F
449,Terrie,F
450,Cathryn,F
451,Crystal,F
452,Jeannine,F
453,Ronda,F
454,Yvette,F
455,Rae,F
456,Marva,F
457,Sadie,F
458,Essie,F
459,Antonia,F
460,Heather,F
461,Althea,F
462,Dorothea,F
463,Blanche,F
464,Jana,F
465,Lorene,F
466,Ollie,F
467,Meredith,F
468,Ava,F
469,Winifred,F
470,Jewel,F
471,Christie,F
472,Rosalinda,F
473,Merry,F
474,Nettie,F
475,Lenore,F
476,Etta,F
477,Beulah,F
478,Bernadine,F
479,Eula,F
480,Kim,F
481,Beverley,F
482,Kristina,F
483,Lavonne,F
484,Rhoda,F
485,Janelle,F
486,Roseanna,F
487,Jimmie,F
488,Candy,F
489,Roslyn,F
490,Ora,F
491,Angelina,F
492,Ina,F
493,Lela,F
494,Marietta,F
495,Clare,F
496,Dolly,F
497,Jeanine,F
498,Marylou,F
499,Lynnette,F
500,Elena,F
501,Maryellen,F
502,Pearlie,F
503,Georgette,F
504,Sharlene,F
505,Tommie,F
506,Willa,F
507,Francis,F
508,Jannie,F
509,Lesley,F
510,Delois,F
511,Lupe,F
512,Daphne,F
513,Harriett,F
514,James,F
515,Suzan,F
516,Dinah,F
517,Madelyn,F
518,Shelby,F
519,Heidi,F
520,Josie,F
521,Nola,F
522,Cherry,F
523,Nita,F
524,Addie,F
525,Angie,F
526,Earline,F
527,Johanna,F
528,Lizzie,F
529,Nikki,F
530,Queen,F
531,Clarice,F
532,Leola,F
533,Sharyn,F
534,Cathie,F
535,Julianne,F
536,Estelle,F
537,Gayla,F
538,Jacque,F
539,Gilda,F
540,Sherrill,F
541,Dorthy,F
542,Alexis,F
543,Consuelo,F
544,Elvira,F
545,Pam,F
546,Fern,F
547,Mabel,F
548,Roseanne,F
549,Kitty,F
